TGNR	has_bruker_maldi	code_count	codes	has_medianpeaks	csv_file_count	run_accession	sample_accession	experiment_accession	inferred_year	phylogroup	phylogroup_rough	best_mash_dist	ST	is_ST131	one_representative_per_case	papG_variant	amr_gene_count	amr_genes	amr_products	vitek_CIP_result	vitek_CTR_result	vitek_MER_result	vitek_NFT_result	vitek_FOT_result	mic_vitek_CIP	mic_vitek_CTR	mic_vitek_MER	mic_vitek_NFT	mic_vitek_FOT	etest_CIP_result	etest_CTR_result	mic_etest_CIP	mic_etest_CTR
134955-18	True	0		True	4	ERR10176797	SAMEA111331059	ERX9713266	2018	B2-2	B2	0.00905437	2604	False	True	no papG_papGIII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
135331-19	False	0		False	0	ERR10176798	SAMEA111331060	ERX9713267	2019	D1	D	0.0050358	69	False	True	no papG	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
135499-18	True	0		True	4	ERR10176799	SAMEA111331061	ERX9713268	2018	F	F	0.0130253	1722	False	True	no papG	2	blaEC-19;tet(34)	class C extended-spectrum beta-lactamase EC-19;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
135695-19	False	0		False	0	ERR10176800	SAMEA111331062	ERX9713269	2019	F	F	0.00628226	648	False	True	no papG_papGII	4	blaEC-19;sul2;tet(34);tet(B)	class C extended-spectrum beta-lactamase EC-19;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(B)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
135714-19	False	0		False	0	ERR10176801	SAMEA111331063	ERX9713270	2019	B1	B1	0.00390884	58	False	True	no papG	2	blaEC-18;tet(34)	class C extended-spectrum beta-lactamase EC-18;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
135740-19	False	0		False	0	ERR10176802	SAMEA111331064	ERX9713271	2019	B2-2	B2	0.00167717	73	False	True	no papG_papGII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
135967-1-18	False	0		False	0	ERR10176803	SAMEA111331065	ERX9713272	2018	B1	B1	0.00909802	2165	False	True	no papG	2	blaEC-18;tet(34)	class C extended-spectrum beta-lactamase EC-18;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)														
135987-19	False	0		False	0	ERR10176804	SAMEA111331066	ERX9713273	2019	B2-2	B2	0.00166398	73	False	False	no papG_papGII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
136153-18	True	0		True	4	ERR10176805	SAMEA111331067	ERX9713274	2018	B2-2	B2	0.00967837	12	False	True	no papG	9	aph(3'')-Ib;aph(6)-Id;blaEC-5;blaTEM-1;dfrA7;qacEdelta1;sul1;sul2;tet(A)	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A broad-spectrum beta-lactamase TEM-1;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA7	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
136401-18	True	0		True	4	ERR10176806	SAMEA111331068	ERX9713275	2018	D1	D	0.0025802	69	False	True	no papG_papGII	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
136972-19	False	0		False	0	ERR10176807	SAMEA111331069	ERX9713276	2019	B2-2	B2	0.00904249	141	False	True	no papG_papGIII	1	blaEC-19	class C extended-spectrum beta-lactamase EC-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
137161-18	True	0		True	4	ERR10176808	SAMEA111331070	ERX9713277	2018	B2-2	B2	0.00174065	73	False	True	no papG_papGIII	2	blaEC-5;tet(B)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;tetracycline efflux MFS transporter Tet(B)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
137216-18	False	0		False	0	ERR10176809	SAMEA111331071	ERX9713278	2018	B2-2	B2	0.00962528	141	False	True	no papG_papGIII	2	blaEC-19;blaSHV-1	class A broad-spectrum beta-lactamase SHV-1;class C extended-spectrum beta-lactamase EC-19	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
137784-19	False	0		False	0	ERR10176810	SAMEA111331072	ERX9713279	2019	B2-2	B2	0.00193792	73	False	True	no papG_papGII	2	blaEC-5;tet(B)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;tetracycline efflux MFS transporter Tet(B)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
137889-18	True	0		True	4	ERR10176811	SAMEA111331073	ERX9713280	2018	B2-2	B2	0.0111981	95*	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
138038-19	False	0		False	0	ERR10176812	SAMEA111331074	ERX9713281	2019	D1	D	0.00515475	69	False	True	no papG_papGII	9	aph(3'')-Ib;aph(6)-Id;blaEC-8;blaTEM-1;dfrA7;qacEdelta1;sul1;sul2;tet(A)	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-8;class A broad-spectrum beta-lactamase TEM-1;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
138120-19	False	0		False	0	ERR10176813	SAMEA111331075	ERX9713282	2019	B2-2	B2	0.0113218	420	False	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
138129-18	True	0		True	4	ERR10176814	SAMEA111331076	ERX9713283	2018	B2-1	B2	0.00463338	131	True	True	no papG_papGIII	2	blaEC-5;blaTEM-235	cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A beta-lactamase TEM-235	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
138432-18	True	0		True	3	ERR10176815	SAMEA111331077	ERX9713284	2018	D1	D	0.00408417	69	False	True	no papG	4	blaEC-8;dfrA14;qnrS1;tet(A)	cephalosporin-hydrolyzing class C beta-lactamase EC-8;quinolone resistance pentapeptide repeat protein QnrS1;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA14	intermediär	sensibel	sensibel	NA	NA	=0.5	<=1	<=0.25	NA	NA	sensibel	NA	=0.19	NA
138502-19	False	0		False	0	ERR10176816	SAMEA111331078	ERX9713285	2019	B2-2	B2	0.00236155	73	False	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
139019-18	True	0		True	4	ERR10176817	SAMEA111331079	ERX9713286	2018	B2-2	B2	0.00968246	127	False	True	no papG_papGIII	6	aph(3'')-Ib;aph(6)-Id;blaEC-5;blaTEM-1;catA1;sul2	aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A broad-spectrum beta-lactamase TEM-1;sulfonamide-resistant dihydropteroate synthase Sul2;type A-1 chloramphenicol O-acetyltransferase	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
139097-18	True	0		True	4	ERR10176818	SAMEA111331080	ERX9713287	2018	B2-2	B2	0.00962528	141	False	False	no papG_papGIII	2	blaEC-19;blaSHV-1	class A broad-spectrum beta-lactamase SHV-1;class C extended-spectrum beta-lactamase EC-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
139632-18	True	0		True	4	ERR10176819	SAMEA111331081	ERX9713288	2018	B2-1	B2	0.00114465	131	True	True	no papG	2	blaCTX-M-101;blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-101	resistent	resistent	sensibel	NA	NA	>=4	>=64	<=0.25	NA	NA	NA	NA	NA	NA
139800-18	True	0		True	4	ERR10176820	SAMEA111331082	ERX9713289	2018	B1	B1	0.00283277	58	False	True	no papG	2	blaEC-18;tet(34)	class C extended-spectrum beta-lactamase EC-18;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
139819-18	True	0		True	4	ERR10176821	SAMEA111331083	ERX9713290	2018	B2-2	B2	0.0102592	127	False	True	no papG_papGIII	9	aadA2;aph(3')-Ia;blaEC-5;blaTEM-171;catA1;dfrA12;mph(A);qacEdelta1;sul1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2;Mph(A) family macrolide 2'-phosphotransferase;aminoglycoside O-phosphotransferase APH(3')-Ia;cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A beta-lactamase TEM-171;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;trimethoprim-resistant dihydrofolate reductase DfrA12;type A-1 chloramphenicol O-acetyltransferase	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
139865-18	True	0		True	4	ERR10176822	SAMEA111331084	ERX9713291	2018	D3	D	0.00531024	405	False	True	no papG_papGII_papGIV	2	blaEC-8;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-8;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
139956-18	True	0		True	4	ERR10176823	SAMEA111331085	ERX9713292	2018	B2-1	B2	0.0015143	131	True	True	no papG_papGII	2	blaCTX-M-15;blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
140726-19	False	0		False	0	ERR10176824	SAMEA111331086	ERX9713293	2019	B2-2	B2	0.00199702	73	False	True	no papG_papGII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
140991-19	False	0		False	0	ERR10176825	SAMEA111331087	ERX9713294	2019	B2-2	B2	0.0104198	95	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
141318-18	True	0		True	4	ERR10176826	SAMEA111331088	ERX9713295	2018	B2-2	B2	0.00969064	141	False	True	no papG_papGIII	2	blaEC-19;blaSHV-1	class A broad-spectrum beta-lactamase SHV-1;class C extended-spectrum beta-lactamase EC-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
141345-18	True	0		True	4	ERR10176827	SAMEA111331089	ERX9713296	2018	A	A	0.00593232	10	False	True	no papG	3	blaEC-8;tet(34);tet(A)	cephalosporin-hydrolyzing class C beta-lactamase EC-8;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);tetracycline efflux MFS transporter Tet(A)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
141458-18	True	0		True	6	ERR10176828	SAMEA111331090	ERX9713297	2018	B2-1	B2	0.0102718	1236	False	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
141591-19	False	0		False	0	ERR10176829	SAMEA111331091	ERX9713298	2019	B2-2	B2	0.013233	28	False	True	no papG	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
141714-18	True	0		True	5	ERR10176830	SAMEA111331092	ERX9713299	2018	B2-2	B2	0.0101584	95	False	True	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
141842-19	False	0		False	0	ERR10176831	SAMEA111331093	ERX9713300	2019	B1	B1	0.00909802	212	False	True	no papG	5	aadA12;blaEC-18;blaTEM-1;dfrA1;sul2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA12;class A broad-spectrum beta-lactamase TEM-1;class C extended-spectrum beta-lactamase EC-18;sulfonamide-resistant dihydropteroate synthase Sul2;trimethoprim-resistant dihydrofolate reductase DfrA1	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
141891-18	True	0		True	4	ERR10176832	SAMEA111331094	ERX9713301	2018	B2-2	B2	0.00186034	73	False	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
142486-18	True	0		True	4	ERR10176833	SAMEA111331095	ERX9713302	2018	B2-2	B2	0.0130157	14	False	True	no papG_papGII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
143357-18	True	0		True	4	ERR10176834	SAMEA111331096	ERX9713303	2018	B2-2	B2	0.003361	73	False	True	no papG_papGII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
143362-18	True	0		True	4	ERR10176835	SAMEA111331097	ERX9713304	2018	D1	D	0.00260529	69	False	True	no papG_papGII_papGIV	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	resistent	sensibel	sensibel	NA	NA	>=4	<=1	<=0.25	NA	NA	NA	NA	NA	NA
143490-18	True	0		True	4	ERR10176836	SAMEA111331098	ERX9713305	2018	B2-2	B2	0.0130301	404	False	True	no papG	4	aadA1;blaEC-5;dfrA1;estX/sat2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;bifunctional putative esterase EstX/streptothricin N-acetyltransferase Sat1;cephalosporin-hydrolyzing class C beta-lactamase EC-5;trimethoprim-resistant dihydrofolate reductase DfrA1	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
143617-19	False	0		False	0	ERR10176837	SAMEA111331099	ERX9713306	2019	B2-1	B2	0.00617283	131	True	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
143736-18	True	0		True	4	ERR10176838	SAMEA111331100	ERX9713307	2018	F	F	0.00639579	648	False	True	no papG_papGII	4	blaEC-19;sul2;tet(34);tet(B)	class C extended-spectrum beta-lactamase EC-19;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(B)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
145233-18	True	0		True	4	ERR10176839	SAMEA111331101	ERX9713308	2018	D1	D	0.00243872	69	False	True	no papG_papGII	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
145309-18	True	0		True	4	ERR10176840	SAMEA111331102	ERX9713309	2018	F	F	0.0156106	62	False	True	no papG_papGII_papGIV	5	aadA1;blaEC-19;dfrA1;estX/sat2;tet(34)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;bifunctional putative esterase EstX/streptothricin N-acetyltransferase Sat1;class C extended-spectrum beta-lactamase EC-19;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);trimethoprim-resistant dihydrofolate reductase DfrA1	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
145484-19	False	0		False	0	ERR10176841	SAMEA111331103	ERX9713310	2019	B2-1	B2	0.00614558	131	True	True	no papG_papGII	2	blaCTX-M-27;blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5;class A extended-spectrum beta-lactamase CTX-M-27	intermediär	resistent	sensibel	NA	NA	=0.5	>=64	<=0.25	NA	NA	NA	NA	NA	NA
145804-18	True	0		True	4	ERR10176842	SAMEA111331104	ERX9713311	2018	D1	D	0.00205363	69	False	True	no papG_papGIV	11	aadA5;aph(3'')-Ib;aph(6)-Id;blaEC-8;blaTEM-1;dfrA17;mph(A);qacEdelta1;sul1;sul2;tet(A)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5;Mph(A) family macrolide 2'-phosphotransferase;aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoglycoside O-phosphotransferase APH(6)-Id;cephalosporin-hydrolyzing class C beta-lactamase EC-8;class A broad-spectrum beta-lactamase TEM-1;quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;tetracycline efflux MFS transporter Tet(A);trimethoprim-resistant dihydrofolate reductase DfrA17	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
145816-18	True	0		True	7	ERR10176843	SAMEA111331105	ERX9713312	2018	B2-2	B2	0.0118426	14	False	True	no papG_papGII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
146081-19-1	False	0		False	0	ERR10176844	SAMEA111331106	ERX9713313	2019	B2-2	B2	0.0112378	363	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5														
146081-19-10	False	0		False	0	ERR10176845	SAMEA111331107	ERX9713314	2019	B2-2	B2	0.0105945	363	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5														
146081-19-2	False	0		False	0	ERR10176846	SAMEA111331108	ERX9713315	2019	B2-2	B2	0.0112422	363	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5														
146081-19-3	False	0		False	0	ERR10176847	SAMEA111331109	ERX9713316	2019	B2-2	B2	0.0112422	363	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5														
146081-19-4	False	0		False	0	ERR10176848	SAMEA111331110	ERX9713317	2019	B2-2	B2	0.0112422	363	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5														
146081-19-5	False	0		False	0	ERR10176849	SAMEA111331111	ERX9713318	2019	B2-2	B2	0.0112378	363	False	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5														
146081-19-6	False	0		False	0	ERR10176850	SAMEA111331112	ERX9713319	2019	B2-2	B2	0.0105945	363	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5														
146081-19-7	False	0		False	0	ERR10176851	SAMEA111331113	ERX9713320	2019	B2-2	B2	0.0112422	363	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5														
146081-19-8	False	0		False	0	ERR10176852	SAMEA111331114	ERX9713321	2019	B2-2	B2	0.0112378	363	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5														
146081-19-9	False	0		False	0	ERR10176853	SAMEA111331115	ERX9713322	2019	B2-2	B2	0.0112422	363	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5														
146394-19	False	0		False	0	ERR10176854	SAMEA111331116	ERX9713323	2019	D1	D	0.00337267	69	False	True	no papG_papGII	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
146529-19	False	0		False	0	ERR10176855	SAMEA111331117	ERX9713324	2019	B2-1	B2	0.00581155	131	True	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
146951-18	True	0		True	4	ERR10176856	SAMEA111331118	ERX9713325	2018	B2-2	B2	0.00888469	141	False	True	no papG_papGIII	1	blaEC-19	class C extended-spectrum beta-lactamase EC-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
147404-18	True	0		True	4	ERR10176857	SAMEA111331119	ERX9713326	2018	B2-1	B2	0.00396306	131	True	True	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
147971-18	True	0		True	4	ERR10176858	SAMEA111331120	ERX9713327	2018	D3	D	0.0154166	38	False	True	no papG	1	blaEC-8	cephalosporin-hydrolyzing class C beta-lactamase EC-8	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
148268-18	True	0		True	4	ERR10176859	SAMEA111331121	ERX9713328	2018	B2-2	B2	0.0113086	95	False	True	no papG	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
148801-18	True	0		True	4	ERR10176860	SAMEA111331122	ERX9713329	2018	F	F	0.0169478	59*	False	True	no papG_papGII_papGIV	2	blaEC-19;tet(34)	class C extended-spectrum beta-lactamase EC-19;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
150603-18	True	0		True	4	ERR10176861	SAMEA111331123	ERX9713330	2018	B2-2	B2	0.0021647	73	False	True	no papG_papGIII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
150832-18	True	0		True	4	ERR10176862	SAMEA111331124	ERX9713331	2018	D1	D	0.0039842	69	False	True	no papG_papGV	2	blaEC-8;tet(A)	cephalosporin-hydrolyzing class C beta-lactamase EC-8;tetracycline efflux MFS transporter Tet(A)	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
611445-18	True	0		True	5	ERR10176863	SAMEA111331125	ERX9713332	2018	B2-2	B2	0.00186034	73	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	NA	NA	<=0.25	<=1	<=0.25	NA	NA	NA	NA	NA	NA
700007-19	True	0		True	4	ERR10176482	SAMEA111331126	ERX9712951	2019	B2-2	B2	0.0108009	95	False	False	no papG_papGII	2	blaEC-5;tet(34)	cephalosporin-hydrolyzing class C beta-lactamase EC-5;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
700024-20	False	0		False	0	ERR10176483	SAMEA111331127	ERX9712952	2020	B2-2	B2	0.0134574	14	False	True	no papG_papGII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
700041-20	False	0		False	0	ERR10176484	SAMEA111331128	ERX9712953	2020	B1	B1	0.00980554	162	False	True	no papG_papGV	11	aadA1;blaEC-18;blaOXA-1;blaTEM-1;dfrA36;floR;mph(A);qacEdelta1;sul1;sul2;tet(34)	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1;Mph(A) family macrolide 2'-phosphotransferase;chloramphenicol/florfenicol efflux MFS transporter FloR;class A broad-spectrum beta-lactamase TEM-1;class C extended-spectrum beta-lactamase EC-18;oxacillin-hydrolyzing class D beta-lactamase OXA-1;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);quaternary ammonium compound efflux SMR transporter QacE delta 1;sulfonamide-resistant dihydropteroate synthase Sul1;sulfonamide-resistant dihydropteroate synthase Sul2;trimethoprim-resistant dihydrofolate reductase DfrA36	resistent	sensibel	sensibel	sensibel	sensibel	>=4	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
700042-20	False	0		False	0	ERR10176485	SAMEA111331129	ERX9712954	2020	A	A	0.00524205	10	False	True	no papG	3	blaEC-8;tet(34);tet(A)	cephalosporin-hydrolyzing class C beta-lactamase EC-8;oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34);tetracycline efflux MFS transporter Tet(A)	resistent	sensibel	sensibel	sensibel	sensibel	>=4	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
700078-19	True	0		True	4	ERR10176486	SAMEA111331130	ERX9712955	2019	B2-2	B2	0.00273692	73	False	False	no papG	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
700170-20	False	0		False	0	ERR10176487	SAMEA111331131	ERX9712956	2020	B2-2	B2	0.00917363	537	False	True	no papG_papGIII	1	blaEC-5	cephalosporin-hydrolyzing class C beta-lactamase EC-5	sensibel	sensibel	sensibel	sensibel	sensibel	<=0.25	<=1	<=0.25	<=16	<=16	NA	NA	NA	NA
