site,drug,stratum_type,stratum_value,n,n_r,n_s,auc,mean_prob_r,mean_prob_s,adequacy_label,interpretation
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Cefepime=S,459,0,459,,,0.131295,underpowered_low_resistant,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Cefepime=S,18,0,18,,,0.245078,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Cefepime=U,2,1,1,1.0,0.971243,0.792675,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Cefepime=S,5,0,5,,,0.21477,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Cefepime=R,2,2,0,,0.284844,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Cefepime=U,1,1,0,,0.89999,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Cefepime=S,18,0,18,,,0.299488,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=U|Cefepime=S,2,2,0,,0.322903,,underpowered_low_n,do_not_overinterpret
A-2018,CAZ,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftriaxone=R|Cefepime=U,2,2,0,,0.756584,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,background_resistance_burden,0,812,19,793,0.955731,0.815909,0.204633,interpretable,signal_retained_in_stratum
A-2018,CRO,background_resistance_burden,1,327,88,239,0.825266,0.695736,0.294018,interpretable,signal_retained_in_stratum
A-2018,CRO,background_resistance_burden,2,132,52,80,0.757692,0.689519,0.397238,interpretable,signal_retained_in_stratum
A-2018,CRO,background_resistance_burden,3,72,52,20,0.570192,0.679703,0.598573,interpretable,borderline_in_stratum
A-2018,CRO,background_resistance_burden,4,39,39,0,,0.772102,,underpowered_low_susceptible,do_not_overinterpret
A-2018,CRO,background_resistance_burden,5,8,8,0,,0.5483,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,background_resistance_burden_bin,multi,251,151,100,0.730861,0.699986,0.437505,interpretable,signal_retained_in_stratum
A-2018,CRO,background_resistance_burden_bin,none,812,19,793,0.955731,0.815909,0.204633,interpretable,signal_retained_in_stratum
A-2018,CRO,background_resistance_burden_bin,single,327,88,239,0.825266,0.695736,0.294018,interpretable,signal_retained_in_stratum
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=R,8,8,0,,0.5483,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=U,7,7,0,,0.721245,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=S,19,4,15,0.216667,0.229633,0.474444,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=U,2,2,0,,0.122774,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=U|Cefepime=S,1,0,1,,,0.925272,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftazidime=U|Cefepime=U,3,3,0,,0.442516,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftazidime=R|Cefepime=R,2,2,0,,0.69182,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftazidime=R|Cefepime=U,1,1,0,,0.862767,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftazidime=S|Cefepime=S,36,0,36,,,0.33816,underpowered_low_resistant,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftazidime=U|Cefepime=S,2,2,0,,0.302762,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftazidime=U|Cefepime=U,5,5,0,,0.389113,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=R,30,30,0,,0.789321,,underpowered_low_susceptible,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=S,3,3,0,,0.487309,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=U,22,22,0,,0.755203,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=R,4,0,4,,,0.982382,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=S,44,7,37,0.868726,0.850429,0.470388,interpretable,signal_retained_in_stratum
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=U,8,5,3,1.0,0.938296,0.24305,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=U|Cefepime=R,7,7,0,,0.891319,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=U|Cefepime=S,2,0,2,,,0.52434,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=U|Cefepime=U,9,9,0,,0.94591,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=R|Cefepime=R,5,5,0,,0.782626,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=R|Cefepime=U,7,7,0,,0.894233,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=S|Cefepime=S,60,3,57,0.97076,0.957002,0.431466,interpretable,signal_retained_in_stratum
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=S|Cefepime=U,3,3,0,,0.723721,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=U|Cefepime=S,10,5,5,0.2,0.391134,0.691666,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=U|Cefepime=U,44,44,0,,0.742293,,underpowered_low_susceptible,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftazidime=S|Cefepime=S,6,0,6,,,0.919672,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=R|Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftazidime=U|Cefepime=U,4,4,0,,0.90745,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=S,3,2,1,0.5,0.234945,0.0763722,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=S,51,0,51,,,0.180761,underpowered_low_resistant,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftazidime=U|Cefepime=S,2,2,0,,0.634141,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftazidime=U|Cefepime=U,1,1,0,,0.314272,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftazidime=S|Cefepime=S,291,0,291,,,0.193211,underpowered_low_resistant,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftazidime=U|Cefepime=U,1,1,0,,0.390057,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=R,5,5,0,,0.752284,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=S,3,2,1,0.0,0.223288,0.346744,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=U,8,8,0,,0.520561,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=S,108,0,108,,,0.223374,underpowered_low_resistant,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=U,1,1,0,,0.463741,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=U|Cefepime=S,11,4,7,0.357143,0.29055,0.30011,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=U|Cefepime=U,7,7,0,,0.729178,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=R|Cefepime=R,2,2,0,,0.520585,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=R|Cefepime=S,1,1,0,,0.186743,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=R|Cefepime=U,2,2,0,,0.113368,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=S|Cefepime=S,459,0,459,,,0.194939,underpowered_low_resistant,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=S|Cefepime=U,3,3,0,,0.969579,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=U|Cefepime=S,7,0,7,,,0.504928,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=U|Cefepime=U,8,8,0,,0.850457,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=S|Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftazidime=S|Cefepime=S,18,0,18,,,0.329193,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=R|Cefepime=U,1,1,0,,0.986843,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=S,5,0,5,,,0.251283,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=S|Cefepime=U,1,1,0,,0.882894,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftazidime=U|Cefepime=U,7,7,0,,0.806911,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=R|Cefepime=R,2,2,0,,0.388814,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=R|Cefepime=U,1,1,0,,0.951681,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=S|Cefepime=S,18,0,18,,,0.395158,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=U|Cefepime=S,2,2,0,,0.371963,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftazidime=U|Cefepime=U,5,5,0,,0.93118,,underpowered_low_n,do_not_overinterpret
A-2018,CRO,exact_background_signature,Ciprofloxacin=U|Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftazidime=R|Cefepime=U,2,2,0,,0.863524,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,background_resistance_burden,0,843,68,775,0.776015,0.603906,0.303288,interpretable,signal_retained_in_stratum
A-2018,Cipro,background_resistance_burden,1,319,138,181,0.768636,0.643925,0.357293,interpretable,signal_retained_in_stratum
A-2018,Cipro,background_resistance_burden,2,75,55,20,0.768182,0.767503,0.526451,interpretable,signal_retained_in_stratum
A-2018,Cipro,background_resistance_burden,3,61,47,14,0.674772,0.717137,0.518851,interpretable,signal_retained_in_stratum
A-2018,Cipro,background_resistance_burden,4,44,39,5,0.615385,0.802437,0.711819,interpretable,signal_retained_in_stratum
A-2018,Cipro,background_resistance_burden,5,8,8,0,,0.680608,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,background_resistance_burden_bin,multi,188,149,39,0.716572,0.756094,0.547488,interpretable,signal_retained_in_stratum
A-2018,Cipro,background_resistance_burden_bin,none,843,68,775,0.776015,0.603906,0.303288,interpretable,signal_retained_in_stratum
A-2018,Cipro,background_resistance_burden_bin,single,319,138,181,0.768636,0.643925,0.357293,interpretable,signal_retained_in_stratum
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,8,8,0,,0.680608,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,7,7,0,,0.795499,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=S,4,4,0,,0.453992,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,2,2,0,,0.338295,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,3,3,0,,0.483695,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,15,15,0,,0.620572,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,1,1,0,,0.940576,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,2,2,0,,0.811132,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,1,1,0,,0.945455,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,2,0,,0.614953,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,5,5,0,,0.474738,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,36,36,0,,0.504999,,underpowered_low_susceptible,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=R|Amoxicillin-Clavulanic acid=U|Ceftriaxone=U|Ceftazidime=U|Cefepime=S,1,1,0,,0.342206,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,2,0,2,,,0.252908,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,2,0,2,,,0.77819,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,1,0,1,,,0.453505,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=R|Cefepime=S,1,0,1,,,0.184047,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,51,0,51,,,0.285719,underpowered_low_resistant,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,1,0,1,,,0.560802,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,291,0,291,,,0.319543,underpowered_low_resistant,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=S|Amoxicillin-Clavulanic acid=S|Ceftriaxone=U|Ceftazidime=R|Cefepime=U,3,0,3,,,0.579461,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,35,30,5,0.64,0.803476,0.711819,interpretable,signal_retained_in_stratum
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,5,3,2,0.333333,0.490688,0.457053,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,30,22,8,0.6875,0.796594,0.601933,interpretable,signal_retained_in_stratum
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=S,7,7,0,,0.849173,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,6,5,1,1.0,0.937916,0.498356,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=R,7,7,0,,0.845886,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,4,0,4,,,0.505741,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,16,9,7,0.793651,0.894402,0.656072,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=R|Cefepime=S,1,0,1,,,0.509272,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=R,4,4,0,,0.971595,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,145,37,108,0.741742,0.577619,0.335581,interpretable,signal_retained_in_stratum
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=S|Cefepime=U,3,3,0,,0.419709,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=R|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,9,2,7,0.857143,0.693342,0.418982,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=R,7,5,2,0.6,0.779602,0.514264,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=S,1,0,1,,,0.276416,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=R|Cefepime=U,9,7,2,1.0,0.827157,0.217788,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=S|Cefepime=S,3,3,0,,0.895069,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=S|Cefepime=U,6,3,3,0.0,0.815857,0.924301,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=S,5,5,0,,0.48564,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,52,44,8,0.710227,0.804171,0.731344,interpretable,signal_retained_in_stratum
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,516,57,459,0.757253,0.553104,0.282364,interpretable,signal_retained_in_stratum
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=S|Ceftriaxone=S|Ceftazidime=U|Cefepime=S,12,5,7,0.542857,0.798743,0.725407,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftriaxone=R|Ceftazidime=U|Cefepime=U,4,4,0,,0.844328,,underpowered_low_n,do_not_overinterpret
A-2018,Cipro,exact_background_signature,Norfloxacin=U|Amoxicillin-Clavulanic acid=U|Ceftriaxone=S|Ceftazidime=S|Cefepime=S,24,6,18,0.962963,0.924161,0.409887,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,background_resistance_burden,0,291,0,291,,,0.314881,underpowered_low_resistant,do_not_overinterpret
A-2018,Norflox,background_resistance_burden,1,92,37,55,0.692383,0.510111,0.296864,interpretable,signal_retained_in_stratum
A-2018,Norflox,background_resistance_burden,2,27,23,4,0.597826,0.616904,0.552468,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,background_resistance_burden,3,12,10,2,0.8,0.48304,0.223416,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,background_resistance_burden,4,9,9,0,,0.832277,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,background_resistance_burden,5,8,8,0,,0.703535,,underpowered_low_n,do_not_overinterpret
A-2018,Norflox,background_resistance_burden_bin,multi,56,50,6,0.703333,0.642759,0.442784,interpretable,signal_retained_in_stratum
A-2018,Norflox,background_resistance_burden_bin,none,291,0,291,,,0.314881,underpowered_low_resistant,do_not_overinterpret
